screen_name,follower_count
1HiveOrg,6665
1inch,1015150
1UP,62175
AaveAave,428464
aavegotchi,92203
itstheAGAH,3377
AIRA_Robonomics,28222
airswap,50435
aladdindao,8989
AlchemixFi,60599
AmpleforthOrg,36734
ApeDao_,13601
API3DAO,37523
AragonOneTeam,3505
ARCA_DAO,95
ArmorFi,7958
arrayfinance,766
bprotocoleth,6589
BaconDAO_,15165
BadgerDAO,43883
BalancerLabs,121912
bancor,145462
banklessDAO,41675
Barn_Bridge,28402
@BitDAO_Official,34385
blockzerolabs,12086
BrightIDProject,9900
BuzzedBears,4387
bzxhq,1095
carbonswap_fi,4366
CENNZnet,7870
CityDAO,27976
collab_19,52
collectiveDAO,147
compoundfinance,218838
ConjureFi,749
ConstitutionDAO,70888
ConvexFinance,38068
CRE8RDAO,5525
creamfinance,984
credmarkhq,2731
crisisdao,432
CryptexFinance,11234
CorgisCrypto,695
Cura_DAO,74
curio_invest,8828
cyber_devs,3092
nowdaoit,14095
DAOSquare,13069
decentraland,528628
DecredAustralia,612
DeFiOmega,6066
defidollar,12878
developer_dao,47902
dHedgeOrg,18164
diamondbankdao,6233
drctoken,3546
doodledaonfts,242
dOrg_tech,2560
DtravelDAO,51192
DXdao_,7675
dydxprotocol,113426
dsdproject,3178
EarthFund_io,2883
emptysetdollar,3698
enzymefinance,32219
ensdomains,155899
eulerbeats,14057
farmgoddao,910
feiprotocol,36486
financedotvote,7025
FingerprintsDAO,18746
FLAMINGODAO,39561
forefront__,22051
FraktalNFT,3532
FWBtweets,50654
FrontierDAO,3870
G_M_Alliance,9542
Globalcoinrsrch,7495
gitcoin,90185
gnosisPM,118673
gooddollarorg,12510
Governor_DAO,6805
HaktDAO,334
nowdaoit,14095
honeydao_,2757
idlefinance,12679
Index_DAO,1160
indexcoop,40369
ndxfi,18611
Instadapp,32409
InverseFinance,20147
JammSession_,579
JennyMetaverse,24311
juiceboxeth,13590
kp2rnetwork,14602
Keeper_DAO,26030
Kleros_io,22464
KlimaDAO,69484
KomorebiFund,3191
KrauseHouseDAO,10998
kusamanetwork,228741
lex_DAO,6078
LidoFinance,60664
MachiXOfficial,20121
MakerDao,197258
MANTRADAO,56769
MarketingDAO,1920
TheMarsDao,15104
MeebitsDAO,16472
metagammadelta,2507
Meta_Cartel,15337
VENTURE_DAO,19676
VentureDAOChina,417
MetaClan,3
TheMetaFactory,16280
MetaFam,4670
Meter_IO,21486
MolochDAO,9938
mstable_,26089
mydaodashboard,13
necdao,560
neptuneda0,3212
NFTX_,39099
nounsdao,41832
OceanDAO_,1988
OlympusDAO,153265
OokiTrade,47820
The_OpenDAO,159306
orochidao,414
imdanielallan,4158
Own_fund,282
PancakeSwap,1476057
pangolindex,87906
prtyDAO,18377
pegzdao,988
perpprotocol,38029
picklefinance,25230
PieDAO_DeFi,15834
PleasrDAO,44997
pNetworkDeFi,82243
PoolTogether_,37257
powerpoolcvp,30229
PremiaFinance,12808
PrimeDAO_,6899
proofofhumanity,21569
radicle,27713
RaidGuild,7955
rally_io,35959
raribleprotocol,3127
RariCapital,48467
REtokenDAO,301
ribbonfinance,33096
rocketdao_io,2283
SeedifyFund,567318
seen_haus,7413
ShapeShift_io,112904
sharkdao,6743
shield_dao,41153
RGShillShop,22
snglsDAO,9318
squiggledao,6755
StackerVentures,2638
STAKEhaus,4
stakewise_io,4493
ethstatus,147129
sushiswap,198269
synthetix_io,188018
SwapTea,2115
TheLAOOfficial,14365
graphprotocol,209560
tecmns,3290
tokenlon,10971
TornadoCash,37230
TracerDAO,8644
TrojanDAO,1706
TrustToken,37326
dao_tyan,293
uber_haus,185
Ultra_DAO,9783
uniclyNFT,28442
Uniswap,842828
UnslashedF,10273
varenfinance,12217
VesperFi,20023
VisorFinance,169
vita_dao,9638
wgmi4thepeople,4378
xdaoapp,6174
YamFinance,25296
iearnfinance,182864
yfBeta,1630
yup_io,6544
_alchemistcoin,27441
AragonProject,99947
